site_ids,longitude,latitude,AC_capacity_MW,BA,state,type,proposed,exactCoord,id,module_type,array_type,cap_MW_DC,dc_ac_ratio,tilt,system_capacity,losses,Zone
100 Brook Hill Drive Solar,-73.9828,41.09305,2.5,NYISO,NY,solar,existing,TRUE,63292,0,0,2.5,1.666666667,41.09305,2500,7.26836284,HUD VL
"25 Ashdown Road Solar, LLC",-73.879,42.8826,4,NYISO,NY,solar,existing,TRUE,62998,0,0,4,1,42.8826,4000,7.141925764,CAPITL
311_Douglas_Road,-76.473712,42.453281,23.81050794,NYISO,NY,solar,planned,FALSE,,0,2,,1.196507937,0,23810.50794,6.134945865,CENTRL
Addison Solar Project,-77.385525,42.266725,180,NYISO,NY,solar,planned,FALSE,,0,2,,1.5,0,180000,6.506680962,CENTRL
Aegis CSG,-77.34388,42.764688,3,NYISO,NY,solar,existing,TRUE,63059,0,2,3,1.5,0,3000,6.619262904,GENESE
Alabama Solar Park LLC,-78.192778,43.00091,232.5,NYISO,NY,solar,planned,FALSE,,0,0,,1.55,43.00091,232500,6.093040445,WEST
Albany County 1,-73.974014,42.588271,24,NYISO,NY,solar,planned,FALSE,,0,0,,1.2,42.588271,24000,6.789046064,CAPITL
Albany County 2,-73.974014,42.588271,27,NYISO,NY,solar,planned,FALSE,,0,0,,1.35,42.588271,27000,6.366845345,CAPITL
Alder Creek Solar,-75.227945,43.423402,205,NYISO,NY,solar,planned,TRUE,,0,0,,1,43.423402,205000,6.249340906,MHK VL
Allegany 2 Solar,-78.026176,42.247894,150,NYISO,NY,solar,planned,FALSE,,0,2,,1.5,0,150000,6.594869183,GENESE
Amsterdam North,-74.1198,42.953622,3,NYISO,NY,solar,existing,TRUE,61904,0,0,3,1.5,42.953622,3000,6.490150013,CAPITL
Amsterdam South,-74.12616,42.948957,3,NYISO,NY,solar,existing,TRUE,61905,0,0,3,1.5,42.948957,3000,6.924221721,CAPITL
