Facility.Name,longi,lati,Capacity,BA,state,type,Group,exactCoord,wind_turbine_hub_ht,wind_turbine_rotor_diameter,rotor_swept_area_m2,manufacturer,model,config,turb_generic_loss,Region
Alle_Catt_II_Wind,-78.681006,42.244853,339.1,NYISO,NY,wind,planned,FALSE,80,82,5281.02,Vestas,V82-1.65,v82_1650,8.672849103,WEST
Arkwright Summit,-79.23183256,42.40774783,78.4,NYISO,NY,wind,existing,TRUE,95,110,9503.32,Vestas,V110-2.0,v110_2000,8.999917543,WEST
Atlantic_Shores_Offshore_Wind_7,-73.589384,40.729687,880,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.154526308,LONGIL
Atlantic Shores Offshore Wind 8,-73.950777,40.635133,880,NYISO,NY,wind,planned,FALSE,80,96,7238.23,Clipper,C96,c96,8.448658961,N.Y.C.
Atlantic_Shores_Offshore_Wind_9,-74.137063,40.563855,880,NYISO,NY,wind,planned,FALSE,80,100,7853.98,GE Wind,GE1.62-100,ge100_1600,8.230222131,N.Y.C.
Ball_Hill_Wind,-79.245832,42.460005,100,NYISO,NY,wind,planned,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.584473188,WEST
Baron_Winds,-77.357858,42.289726,238.4,NYISO,NY,wind,planned,TRUE,40,29,660.52,Fuhrlander,FL250,z40,9.092757141,CENTRL
Blue Hill Wind,-75.663575,42.910026,27,NYISO,NY,wind,planned,FALSE,80,96,7238.23,Clipper,C96,c96,8.893547323,MHK VL
Bluestone Wind,-75.558078,42.07531,124.2,NYISO,NY,wind,planned,TRUE,65,70.5,3903.63,GE Wind,GE1.5-70.5,ge70_1500,8.958898156,MHK VL
Bone Run Wind,-78.681006,42.244853,132,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,8.805240352,WEST
Bull Run II Wind,-73.705648,44.75271,145.4,NYISO,NY,wind,planned,FALSE,78.5,92.5,6720.06,REpower,MM92,mm92,9.258911947,NORTH
Bull Run Wind,-73.615614,44.783769,303.6,NYISO,NY,wind,planned,TRUE,93,114,10207.03,Gamesa,G114-2.1,g114,8.790815902,NORTH
Canisteo Wind,-77.583783,42.283057,290.7,NYISO,NY,wind,planned,TRUE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.312459143,CENTRL
Cassadaga Wind,-79.309234,42.344551,126,NYISO,NY,wind,planned,TRUE,100,90,6361.73,Gamesa,G90-2.0,g90,8.438107053,WEST
Copenhagen,-75.6393374,43.89087773,80,NYISO,NY,wind,existing,TRUE,95,110,9503.32,Vestas,V110-2.0,v110_2000,9.68850806,MHK VL
CWW 200 Wind,-78.778192,42.752759,200,NYISO,NY,wind,planned,FALSE,95,110,9503.32,Vestas,V110-2.0,v110_2000,8.820336296,WEST
CWW 300 MW DUN,-79.407595,42.304216,300,NYISO,NY,wind,planned,FALSE,93,114,10207.03,Gamesa,G114-2.1,g114,9.53763914,WEST
CWW 300 Wind,-78.778192,42.752759,300,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.25585249,WEST
Deer River Wind,-75.442617,43.786397,100,NYISO,NY,wind,planned,FALSE,80,77,4656.63,GE Wind,GE1.5-77,ge77_1500,9.183731729,MHK VL
Dry_Lots_Wind,-75.205938,42.986288,33,NYISO,NY,wind,planned,TRUE,80,93,6792.91,Clipper,C93,c93,8.593998809,MHK VL
Dutch_Hill_Cohocton,-77.45470686,42.53305176,125,NYISO,NY,wind,existing,TRUE,80,96,7238.23,Clipper,C96,c96,10.67438018,CENTRL
East Wind 1,-73.7700805,40.68241,1200,NYISO,NY,wind,planned,FALSE,94,112,9852.03,Vestas,V112-3.075,v112_3000,8.842560259,N.Y.C.
